Class Name;ATFD;CBO;DAC;DIT;LCOM;MPC;NCSS;NOAC;NOAM;NOA;SIZE2;NOC;NOM;NOO;NOOM;NOPA;RFC;TCC;WOC;WMC
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer;4;4;5;1;3;176;22;0;2;20;36;1;4;16;0;0;17;0.0;1.0;8
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession;4;4;2;1;1;174;306;0;11;2;27;0;12;25;0;0;89;0.2364;1.0;100
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.Response;0;4;3;1;1;1;4;0;1;4;18;0;2;14;0;4;4;0.0;1.0;2
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource;0;4;3;3;3;11;30;4;7;7;51;0;10;44;2;0;22;0.3889;0.5556;17
com.amaze.filemanager.file_operations.filesystem.smbstreamer.Streamer;1;6;4;2;3;34;66;0;5;26;33;0;7;23;1;0;32;0.1333;1.0;24
com.amaze.filemanager.file_operations.filesystem.streams.RandomAccessStream;0;4;0;2;4;4;11;0;2;2;36;2;10;34;4;0;12;0.1333;1.0;11
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg;0;3;3;1;2;2;12;2;7;3;23;0;8;20;0;0;10;0.619;0.7143;11
com.amaze.filemanager.file_operations.filesystem.usb.UsbOtgRepresentation;0;2;1;1;0;2;11;0;0;3;18;0;3;15;2;3;5;0.0;0.0;9
com.amaze.filemanager.file_operations.utils.OnLowMemory;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.file_operations.utils.UpdatePosition;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.filesystem.CustomFileObserver;1;2;4;2;1;15;60;1;6;28;46;0;9;31;2;0;28;0.25;0.875;20
com.amaze.filemanager.filesystem.CustomFileObserver.FileTimerTask;3;1;3;1;1;15;24;0;2;3;19;0;3;16;0;0;14;0.0;1.0;9
com.amaze.filemanager.filesystem.EditableFileAbstraction;3;6;4;1;0;14;34;0;0;4;17;0;1;13;0;4;16;0.0;0.0;9
com.amaze.filemanager.filesystem.EditableFileAbstraction.Scheme;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.filesystem.FileUtil;2;18;0;1;2;72;132;0;2;0;14;0;2;14;0;0;63;0.0;1.0;32
com.amaze.filemanager.filesystem.HybridFile;3;66;3;1;1;463;830;4;48;6;68;1;50;62;0;0;183;0.6773;0.9167;316
com.amaze.filemanager.filesystem.HybridFileParcelable;0;41;3;2;4;66;68;11;16;16;101;0;26;90;5;0;62;0.1569;0.3889;35
com.amaze.filemanager.filesystem.MediaStoreHack;7;4;1;1;1;98;156;0;9;3;24;0;9;21;0;0;52;0.2778;1.0;34
com.amaze.filemanager.filesystem.Operations;9;25;2;1;3;43;405;0;9;11;32;0;9;21;0;0;36;0.1667;1.0;128
com.amaze.filemanager.filesystem.Operations.ErrorCallBack;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.filesystem.PasteHelper;6;12;4;1;2;26;57;2;9;9;32;N/A;11;25;0;0;32;0.4444;0.7778;20
com.amaze.filemanager.filesystem.RootHelper;4;14;1;1;4;52;88;0;10;4;26;0;10;22;0;0;44;0.0667;1.0;36
com.amaze.filemanager.filesystem.cloud.CloudUtil;2;23;1;1;1;64;129;0;6;1;19;0;6;18;0;0;61;0.2;1.0;33
com.amaze.filemanager.filesystem.compressed.CompressedHelper;0;28;1;1;2;76;80;0;14;15;41;0;14;26;0;0;43;0.022;1.0;54
com.amaze.filemanager.filesystem.compressed.extractcontents.Extractor;0;6;5;1;3;0;31;1;4;6;24;4;6;18;0;0;14;0.0;0.75;13
com.amaze.filemanager.filesystem.compressed.extractcontents.Extractor.EmptyArchiveNotice;0;1;0;4;0;0;0;0;0;0;39;0;0;39;0;0;0;0.0;0.0;0
com.amaze.filemanager.filesystem.compressed.extractcontents.Extractor.Filter;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.filesystem.compressed.extractcontents.Extractor.OnUpdate;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
com.amaze.filemanager.filesystem.compressed.sevenz.AES256SHA256Decoder;4;4;0;2;1;0;57;0;1;2;20;0;1;20;0;0;2;0.0;1.0;10
com.amaze.filemanager.filesystem.compressed.sevenz.Archive;1;6;5;1;1;6;3;0;2;8;23;0;3;15;1;0;4;1.0;1.0;5
com.amaze.filemanager.filesystem.compressed.sevenz.BindPair;0;2;0;1;0;0;1;0;0;2;15;0;1;13;1;0;1;0.0;0.0;1
com.amaze.filemanager.filesystem.compressed.sevenz.BoundedFileChannelInputStream;0;1;2;2;2;14;42;0;2;4;33;0;5;29;2;0;13;0.5;1.0;13
com.amaze.filemanager.filesystem.compressed.sevenz.Coder;0;13;0;1;0;0;0;0;0;4;16;0;0;12;0;0;0;0.0;0.0;0
com.amaze.filemanager.filesystem.compressed.sevenz.CoderBase;0;14;1;1;6;2;11;0;5;2;21;9;7;19;0;0;10;0.0;1.0;10
com.amaze.filemanager.filesystem.compressed.sevenz.Coders;1;15;1;1;1;2;25;0;3;1;16;0;3;15;0;0;10;0.0;1.0;5
com.amaze.filemanager.filesystem.compressed.sevenz.Coders.BCJDecoder;0;3;1;2;1;2;5;0;1;3;23;0;3;22;1;0;8;1.0;1.0;4
com.amaze.filemanager.filesystem.compressed.sevenz.Coders.BZIP2Decoder;1;3;0;2;2;2;4;0;1;2;22;0;3;22;1;0;7;0.0;1.0;3
com.amaze.filemanager.filesystem.compressed.sevenz.Coders.CopyDecoder;0;3;0;2;2;0;2;0;1;2;21;0;2;21;1;0;2;0.0;1.0;2
com.amaze.filemanager.filesystem.compressed.sevenz.Coders.Deflate64Decoder;0;3;0;2;1;1;2;0;1;2;21;0;2;21;0;0;4;0.0;1.0;2
com.amaze.filemanager.filesystem.compressed.sevenz.Coders.DeflateDecoder;0;5;0;2;2;5;8;0;1;3;23;0;3;22;1;0;13;0.0;1.0;3
com.amaze.filemanager.filesystem.compressed.sevenz.Coders.DeflateDecoder.DeflateDecoderInputStream;0;1;2;2;1;5;8;0;1;2;31;0;5;29;3;0;10;1.0;1.0;5
com.amaze.filemanager.filesystem.compressed.sevenz.Coders.DeflateDecoder.DeflateDecoderOutputStream;0;1;2;2;1;5;8;0;1;2;28;0;5;26;3;0;10;1.0;1.0;5
com.amaze.filemanager.filesystem.compressed.sevenz.DeltaDecoder;2;4;0;2;3;8;12;0;2;2;25;0;6;25;3;0;14;0.0;1.0;9
com.amaze.filemanager.filesystem.compressed.sevenz.Folder;2;5;2;1;1;3;46;0;5;9;27;0;6;18;1;0;8;0.7;1.0;19
com.amaze.filemanager.filesystem.compressed.sevenz.LZMA2Decoder;2;3;0;2;2;13;35;0;5;2;28;0;9;28;3;0;21;0.0;1.0;15
com.amaze.filemanager.filesystem.compressed.sevenz.LZMADecoder;3;3;0;2;2;17;34;0;4;2;27;0;8;27;3;0;24;0.1429;1.0;10
com.amaze.filemanager.filesystem.compressed.sevenz.NID;0;2;0;1;0;0;0;0;0;26;38;N/A;0;12;0;0;0;0.0;0.0;0
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZArchiveEntry;1;4;2;1;13;21;80;31;45;19;80;0;46;62;0;0;58;0.0475;0.3111;54
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZFile;1;16;6;1;2;236;749;0;30;13;68;0;41;55;1;0;140;0.2414;1.0;197
com.amaze.filemanager.filesystem.compressed.sevenz.SevenZMethod;N/A;N/A;N/A;N/A;N/A;N/A;10;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
