Lines of code metrics,Thu., 14 Oct. 2021 19:19:04 EDT,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
com.amaze.filemanager.database.MigrationTestHelper.toViewInfo(DatabaseViewBundle),1,0,4,4,0.86%,,,,,,,,,,
com.amaze.filemanager.database.SortHandler.SortHandler(ExplorerDatabase),0,0,3,3,6.25%,,,,,,,,,,
com.amaze.filemanager.database.SortHandler.addEntry(Sort),0,0,3,3,6.25%,,,,,,,,,,
com.amaze.filemanager.database.SortHandler.clear(String),0,0,3,3,6.25%,,,,,,,,,,
com.amaze.filemanager.database.SortHandler.findEntry(String),1,0,10,9,20.83%,,,,,,,,,,
com.amaze.filemanager.database.SortHandler.getInstance(),0,0,3,3,6.25%,,,,,,,,,,
"com.amaze.filemanager.database.SortHandler.getSortType(Context,String)",0,0,15,15,31.25%,,,,,,,,,,
"com.amaze.filemanager.database.SortHandler.updateEntry(Sort,Sort)",0,0,3,3,6.25%,,,,,,,,,,
com.amaze.filemanager.database.TabHandler.TabHandler(ExplorerDatabase),0,0,3,3,7.14%,,,,,,,,,,
com.amaze.filemanager.database.TabHandler.addTab(Tab),0,0,3,3,7.14%,,,,,,,,,,
com.amaze.filemanager.database.TabHandler.clear(),0,0,7,7,16.67%,,,,,,,,,,
com.amaze.filemanager.database.TabHandler.findTab(int),1,0,10,9,23.81%,,,,,,,,,,
com.amaze.filemanager.database.TabHandler.getAllTabs(),0,0,5,5,11.90%,,,,,,,,,,
com.amaze.filemanager.database.TabHandler.getInstance(),0,0,3,3,7.14%,,,,,,,,,,
com.amaze.filemanager.database.TabHandler.update(Tab),0,0,3,3,7.14%,,,,,,,,,,
com.amaze.filemanager.database.UtilitiesDatabase.bookmarkEntryDao(),0,n/a,n/a,1,0.33%,,,,,,,,,,
com.amaze.filemanager.database.UtilitiesDatabase.gridEntryDao(),0,n/a,n/a,1,0.33%,,,,,,,,,,
com.amaze.filemanager.database.UtilitiesDatabase.hiddenEntryDao(),0,n/a,n/a,1,0.33%,,,,,,,,,,
com.amaze.filemanager.database.UtilitiesDatabase.historyEntryDao(),0,n/a,n/a,1,0.33%,,,,,,,,,,
com.amaze.filemanager.database.UtilitiesDatabase.initialize(Context),0,0,6,6,1.96%,,,,,,,,,,
com.amaze.filemanager.database.UtilitiesDatabase.listEntryDao(),0,n/a,n/a,1,0.33%,,,,,,,,,,
com.amaze.filemanager.database.UtilitiesDatabase.sftpEntryDao(),0,n/a,n/a,1,0.33%,,,,,,,,,,
com.amaze.filemanager.database.UtilitiesDatabase.smbEntryDao(),0,n/a,n/a,1,0.33%,,,,,,,,,,
"com.amaze.filemanager.database.UtilsHandler.UtilsHandler(Context,UtilitiesDatabase)",0,0,4,4,1.06%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.addCommonBookmarks(),0,0,14,14,3.72%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.clearTable(Operation),0,0,9,9,2.39%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getBookmarksList(),0,0,8,8,2.13%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getGridViewList(),0,0,4,4,1.06%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getHiddenFilesConcurrentRadixTree(),0,0,9,9,2.39%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getHistoryLinkedList(),0,0,8,8,2.13%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getListViewList(),0,0,4,4,1.06%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getSftpList(),1,0,17,16,4.52%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getSmbList(),1,0,19,18,5.05%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getSshAuthPrivateKey(String),1,0,16,15,4.26%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getSshAuthPrivateKeyName(String),1,0,13,12,3.46%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.getSshHostKey(String),1,0,20,19,5.32%,,,,,,,,,,
"com.amaze.filemanager.database.UtilsHandler.removeBookmarksPath(String,String)",0,0,7,7,1.86%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.removeFromDatabase(OperationData),0,0,43,43,11.44%,,,,,,,,,,
"com.amaze.filemanager.database.UtilsHandler.removeSftpPath(String,String)",0,0,10,10,2.66%,,,,,,,,,,
"com.amaze.filemanager.database.UtilsHandler.removeSmbPath(String,String)",4,6,22,16,5.85%,,,,,,,,,,
"com.amaze.filemanager.database.UtilsHandler.renameBookmark(String,String,String,String)",1,0,18,17,4.79%,,,,,,,,,,
"com.amaze.filemanager.database.UtilsHandler.renameSMB(String,String,String,String)",0,0,23,23,6.12%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandler.saveToDatabase(OperationData),0,0,61,61,16.22%,,,,,,,,,,
"com.amaze.filemanager.database.UtilsHandler.updateSsh(String,String,String,String,String,String)",0,0,27,27,7.18%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandlerTest.performEncryptUriTest(String),0,0,24,24,28.24%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandlerTest.setUp(),0,0,8,8,9.41%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandlerTest.tearDown(),0,0,4,4,4.71%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandlerTest.testEncodeEncryptUri1(),0,0,4,4,4.71%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandlerTest.testEncodeEncryptUri2(),0,0,4,4,4.71%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandlerTest.testEncodeEncryptUri3(),0,0,4,4,4.71%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandlerTest.testEncodeEncryptUri4(),0,0,4,4,4.71%,,,,,,,,,,
com.amaze.filemanager.database.UtilsHandlerTest.testRepeatedSaveBookmarkShouldNeverThrowException(),0,0,28,28,32.94%,,,,,,,,,,
"com.amaze.filemanager.database.daos.BookmarkEntryDao.deleteByNameAndPath(String,String)",0,n/a,n/a,9,25.71%,,,,,,,,,,
"com.amaze.filemanager.database.daos.BookmarkEntryDao.findByNameAndPath(String,String)",0,n/a,n/a,9,25.71%,,,,,,,,,,
com.amaze.filemanager.database.daos.BookmarkEntryDao.insert(Bookmark),0,n/a,n/a,2,5.71%,,,,,,,,,,
com.amaze.filemanager.database.daos.BookmarkEntryDao.list(),0,n/a,n/a,2,5.71%,,,,,,,,,,
com.amaze.filemanager.database.daos.BookmarkEntryDao.update(Bookmark),0,n/a,n/a,2,5.71%,,,,,,,,,,
com.amaze.filemanager.database.daos.CloudEntryDao.delete(CloudEntry),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.CloudEntryDao.findByServiceType(int),0,n/a,n/a,3,13.64%,,,,,,,,,,
com.amaze.filemanager.database.daos.CloudEntryDao.insert(CloudEntry),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.CloudEntryDao.list(),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.CloudEntryDao.update(CloudEntry),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.EncryptedEntryDao.delete(String),0,n/a,n/a,3,13.64%,,,,,,,,,,
com.amaze.filemanager.database.daos.EncryptedEntryDao.insert(EncryptedEntry),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.EncryptedEntryDao.list(),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.EncryptedEntryDao.select(String),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.EncryptedEntryDao.update(EncryptedEntry),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.GridEntryDao.deleteByPath(String),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.GridEntryDao.insert(Grid),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.GridEntryDao.listPaths(),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.GridEntryDao.update(Grid),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.HiddenEntryDao.deleteByPath(String),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.HiddenEntryDao.insert(Hidden),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.HiddenEntryDao.listPaths(),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.HiddenEntryDao.update(Hidden),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.HistoryEntryDao.clear(),0,n/a,n/a,2,9.52%,,,,,,,,,,
com.amaze.filemanager.database.daos.HistoryEntryDao.deleteByPath(String),0,n/a,n/a,2,9.52%,,,,,,,,,,
com.amaze.filemanager.database.daos.HistoryEntryDao.insert(History),0,n/a,n/a,2,9.52%,,,,,,,,,,
com.amaze.filemanager.database.daos.HistoryEntryDao.list(),0,n/a,n/a,2,9.52%,,,,,,,,,,
com.amaze.filemanager.database.daos.HistoryEntryDao.update(History),0,n/a,n/a,2,9.52%,,,,,,,,,,
com.amaze.filemanager.database.daos.ListEntryDao.deleteByPath(String),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.ListEntryDao.insert(List),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.ListEntryDao.listPaths(),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.ListEntryDao.update(List),0,n/a,n/a,2,10.53%,,,,,,,,,,
com.amaze.filemanager.database.daos.SftpEntryDao.deleteByName(String),0,n/a,n/a,2,4.44%,,,,,,,,,,
"com.amaze.filemanager.database.daos.SftpEntryDao.deleteByNameAndPath(String,String)",0,n/a,n/a,9,20.00%,,,,,,,,,,
com.amaze.filemanager.database.daos.SftpEntryDao.findByName(String),0,n/a,n/a,2,4.44%,,,,,,,,,,
"com.amaze.filemanager.database.daos.SftpEntryDao.findByNameAndPath(String,String)",0,n/a,n/a,9,20.00%,,,,,,,,,,
com.amaze.filemanager.database.daos.SftpEntryDao.getSshAuthPrivateKey(String),0,n/a,n/a,2,4.44%,,,,,,,,,,
com.amaze.filemanager.database.daos.SftpEntryDao.getSshAuthPrivateKeyName(String),0,n/a,n/a,2,4.44%,,,,,,,,,,
com.amaze.filemanager.database.daos.SftpEntryDao.getSshHostKey(String),0,n/a,n/a,2,4.44%,,,,,,,,,,
com.amaze.filemanager.database.daos.SftpEntryDao.insert(SftpEntry),0,n/a,n/a,2,4.44%,,,,,,,,,,
com.amaze.filemanager.database.daos.SftpEntryDao.list(),0,n/a,n/a,2,4.44%,,,,,,,,,,
com.amaze.filemanager.database.daos.SftpEntryDao.update(SftpEntry),0,n/a,n/a,2,4.44%,,,,,,,,,,
com.amaze.filemanager.database.daos.SmbEntryDao.deleteByName(String),0,n/a,n/a,2,5.41%,,,,,,,,,,
"com.amaze.filemanager.database.daos.SmbEntryDao.deleteByNameAndPath(String,String)",0,n/a,n/a,9,24.32%,,,,,,,,,,
"com.amaze.filemanager.database.daos.SmbEntryDao.findByNameAndPath(String,String)",0,n/a,n/a,9,24.32%,,,,,,,,,,
com.amaze.filemanager.database.daos.SmbEntryDao.insert(SmbEntry),0,n/a,n/a,2,5.41%,,,,,,,,,,
com.amaze.filemanager.database.daos.SmbEntryDao.list(),0,n/a,n/a,2,5.41%,,,,,,,,,,
com.amaze.filemanager.database.daos.SmbEntryDao.update(SmbEntry),0,n/a,n/a,2,5.41%,,,,,,,,,,
com.amaze.filemanager.database.daos.SortDao.clear(String),0,n/a,n/a,3,15.00%,,,,,,,,,,
com.amaze.filemanager.database.daos.SortDao.find(String),0,n/a,n/a,2,10.00%,,,,,,,,,,
com.amaze.filemanager.database.daos.SortDao.insert(Sort),0,n/a,n/a,2,10.00%,,,,,,,,,,
com.amaze.filemanager.database.daos.SortDao.update(Sort),0,n/a,n/a,2,10.00%,,,,,,,,,,
com.amaze.filemanager.database.daos.TabDao.clear(),0,n/a,n/a,3,13.64%,,,,,,,,,,
com.amaze.filemanager.database.daos.TabDao.find(int),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.TabDao.insertTab(Tab),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.TabDao.list(),0,n/a,n/a,2,9.09%,,,,,,,,,,
com.amaze.filemanager.database.daos.TabDao.update(Tab),0,n/a,n/a,2,9.09%,,,,,,,,,,
"com.amaze.filemanager.database.models.OperationData.OperationData(Operation,String)",4,4,15,11,24.19%,,,,,,,,,,
"com.amaze.filemanager.database.models.OperationData.OperationData(Operation,String,String)",1,1,11,10,17.74%,,,,,,,,,,
"com.amaze.filemanager.database.models.OperationData.OperationData(Operation,String,String,String,String,String)",5,5,15,10,24.19%,,,,,,,,,,
com.amaze.filemanager.database.models.OperationData.toString(),0,0,13,13,20.97%,,,,,,,,,,
com.amaze.filemanager.database.models.StringWrapper.StringWrapper(String),0,0,3,3,27.27%,,,,,,,,,,
com.amaze.filemanager.database.models.StringWrapper.toString(),0,0,4,4,36.36%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.CloudEntry.CloudEntry(),0,0,1,1,2.63%,,,,,,,,,,
"com.amaze.filemanager.database.models.explorer.CloudEntry.CloudEntry(OpenMode,String)",0,0,4,4,10.53%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.CloudEntry.getId(),0,0,3,3,7.89%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.CloudEntry.getPersistData(),0,0,3,3,7.89%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.CloudEntry.getServiceType(),1,1,4,3,10.53%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.CloudEntry.setId(int),0,0,3,3,7.89%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.CloudEntry.setPersistData(StringWrapper),0,0,3,3,7.89%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.CloudEntry.setServiceType(OpenMode),1,1,4,3,10.53%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.EncryptedEntry.EncryptedEntry(),0,0,1,1,2.86%,,,,,,,,,,
"com.amaze.filemanager.database.models.explorer.EncryptedEntry.EncryptedEntry(String,String)",0,0,4,4,11.43%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.EncryptedEntry.getId(),0,0,3,3,8.57%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.EncryptedEntry.getPassword(),0,0,3,3,8.57%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.EncryptedEntry.getPath(),0,0,3,3,8.57%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.EncryptedEntry.setId(int),0,0,3,3,8.57%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.EncryptedEntry.setPassword(StringWrapper),0,0,3,3,8.57%,,,,,,,,,,
com.amaze.filemanager.database.models.explorer.EncryptedEntry.setPath(String),0,0,3,3,8.57%,,,,,,,,,,
"com.amaze.filemanager.database.models.explorer.Sort.Sort(String,int)",0,0,4,4,28.57%,,,,,,,,,,
"com.amaze.filemanager.database.models.explorer.Tab.Tab(int,String,String)",0,0,5,5,21.74%,,,,,,,,,,
"com.amaze.filemanager.database.models.explorer.Tab.getOriginalPath(boolean,SharedPreferences)",0,0,7,7,30.43%,,,,,,,,,,
"com.amaze.filemanager.database.models.utilities.Bookmark.Bookmark(String,String)",0,0,3,3,16.67%,,,,,,,,,,
com.amaze.filemanager.database.models.utilities.Grid.Grid(String),0,0,3,3,27.27%,,,,,,,,,,
com.amaze.filemanager.database.models.utilities.Hidden.Hidden(String),0,0,3,3,27.27%,,,,,,,,,,
com.amaze.filemanager.database.models.utilities.History.History(String),0,0,3,3,27.27%,,,,,,,,,,
com.amaze.filemanager.database.models.utilities.List.List(String),0,0,3,3,27.27%,,,,,,,,,,
com.amaze.filemanager.database.models.utilities.OperationData.OperationData(String),0,0,3,3,11.11%,,,,,,,,,,
com.amaze.filemanager.database.models.utilities.OperationData.toString(),0,0,9,9,33.33%,,,,,,,,,,
"com.amaze.filemanager.database.models.utilities.OperationDataWithName.OperationDataWithName(String,String)",0,0,4,4,23.53%,,,,,,,,,,
"com.amaze.filemanager.database.models.utilities.SftpEntry.SftpEntry(String,String,String,String,String)",0,0,6,6,21.43%,,,,,,,,,,
com.amaze.filemanager.database.models.utilities.SftpEntry.toString(),0,0,8,8,28.57%,,,,,,,,,,
"com.amaze.filemanager.database.models.utilities.SmbEntry.SmbEntry(String,String)",0,0,3,3,27.27%,,,,,,,,,,
com.amaze.filemanager.database.typeconverters.EncryptedStringTypeConverter.fromPassword(StringWrapper),0,0,9,9,31.03%,,,,,,,,,,
com.amaze.filemanager.database.typeconverters.EncryptedStringTypeConverter.toPassword(String),0,0,10,10,34.48%,,,,,,,,,,
com.amaze.filemanager.database.typeconverters.OpenModeTypeConverter.fromDatabaseValue(int),0,0,4,4,36.36%,,,,,,,,,,
com.amaze.filemanager.database.typeconverters.OpenModeTypeConverter.fromOpenMode(OpenMode),0,0,4,4,36.36%,,,,,,,,,,
com.amaze.filemanager.file_operations.exceptions.ShellNotRunningException.ShellNotRunningException(),0,0,3,3,50.00%,,,,,,,,,,
com.amaze.filemanager.file_operations.exceptions.StreamNotFoundException.StreamNotFoundException(),0,0,3,3,15.00%,,,,,,,,,,
com.amaze.filemanager.file_operations.exceptions.StreamNotFoundException.StreamNotFoundException(String),0,0,3,3,15.00%,,,,,,,,,,
"com.amaze.filemanager.file_operations.exceptions.StreamNotFoundException.StreamNotFoundException(String,Throwable)",0,0,3,3,15.00%,,,,,,,,,,
com.amaze.filemanager.file_operations.exceptions.StreamNotFoundException.StreamNotFoundException(Throwable),0,0,3,3,15.00%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.OpenMode.getOpenMode(int),5,6,9,3,31.03%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.StorageNaming.getDeviceDescriptionLegacy(File),1,1,17,16,68.00%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.CloudStreamServer(File),10,0,26,16,2.70%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.CloudStreamServer(int,File)",16,5,33,17,3.43%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.HTTPSession(Socket),1,0,7,6,1.63%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.decodeHeader(BufferedReader,Properties,Properties,Properties)",8,1,43,36,10.00%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.decodeMultipartData(String,byte[],BufferedReader,Properties,Properties)",1,1,72,71,16.74%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.decodeParms(String,Properties)",6,6,16,10,3.72%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.decodePercent(String),4,4,28,24,6.51%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.getBoundaryPositions(byte[],byte[])",1,1,26,25,6.05%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.handleResponse(Socket),23,0,134,111,31.16%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.run(),1,0,15,14,3.49%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.saveTmpFile(byte[],int,int)",5,4,20,16,4.65%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.sendError(Socket,String,String)",4,4,8,4,1.86%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.sendResponse(Socket,String,String,Properties,CloudStreamSource)",6,1,44,38,10.23%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.stripMultipartHeaders(byte[],int)",1,1,8,7,1.86%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.Response.Response(),1,1,4,3,16.00%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.Response.Response(String,String,CloudStreamSource)",1,1,6,5,24.00%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.Response.addHeader(String,String)",1,1,4,3,16.00%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.encodeUri(String),4,1,17,13,1.77%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.serve(String,String,Properties,Properties,Properties)",6,n/a,n/a,2,1.35%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.stop(),1,1,9,8,0.93%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.tryBind(int),5,6,16,10,1.66%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.CloudStreamSource(String,long,InputStream)",0,0,6,6,9.23%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.close(),0,0,6,6,9.23%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.getCurrentPosition(),0,0,4,4,6.15%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.getName(),0,0,3,3,4.62%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.moveTo(long),0,0,7,7,10.77%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.open(),17,17,22,5,33.85%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.read(),0,0,6,6,9.23%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.read(byte[],int,int)",0,0,6,6,9.23%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.available(),4,4,10,6,5.18%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.close(),4,4,15,11,7.77%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.createFile(),0,0,9,9,4.66%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.getName(),1,1,5,4,2.59%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.length(),1,1,5,4,2.59%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.moveTo(),4,4,14,10,7.25%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.moveToException(),4,4,9,5,4.66%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.open(),1,1,8,7,4.15%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.openNoFileException(),5,4,10,6,5.18%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.read(),4,4,12,8,6.22%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readClosedException(),4,4,10,6,5.18%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readExceed(),5,4,13,8,6.74%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readStartEnd(),4,4,15,11,7.77%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readStartEndClosedException(),4,4,12,8,6.22%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readStartEndExceedException(),5,5,12,7,6.22%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.reset(),1,1,8,7,4.15%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.setUp(),2,0,10,8,5.18%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.tearDown(),0,0,4,4,2.07%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.CloudStreamer(int),0,0,3,3,3.19%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.getInstance(),0,0,9,9,9.57%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.isStreamMedia(SmbFile),0,0,3,3,3.19%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.serve(String,String,Properties,Properties,Properties)",6,0,55,50,58.51%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.setStreamSrc(InputStream,String,long)",0,0,5,5,5.32%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.stop(),0,0,5,5,5.32%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.ArchivePasswordCache(),0,0,3,3,2.94%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.clear(),0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.containsKey(Object),0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.containsValue(Object),0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.entrySet(),0,0,5,5,4.90%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.equals(Object),0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.get(Object),0,0,5,5,4.90%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.getInstance(),4,5,8,3,7.84%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.hashCode(),0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.isEmpty(),0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.keySet(),0,0,5,5,4.90%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.put(String,String)",0,0,5,5,4.90%,,,,,,,,,,
"com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.putAll(Map<? extends String, ? extends String>)",0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.remove(Object),0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.size(),0,0,4,4,3.92%,,,,,,,,,,
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.toString(),0,0,5,5,4.90%,,,,,,,,,,
