Lines of code metrics,Thu., 14 Oct. 2021 19:19:04 EDT,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.areAllChecked(String),0,0,10,10,0.95%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.createHeaders(boolean,List<IconDataParcelable>)",1,0,26,26,2.46%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getBoolean(String),0,0,3,3,0.28%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getCheckedItems(),0,0,9,9,0.85%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getCheckedItemsIndex(),0,0,9,9,0.85%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.getCorrectView(IconDataParcelable,int)",0,0,25,25,2.37%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getDragIconReference(String),0,0,11,11,1.04%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getDragShadow(int),0,0,28,28,2.65%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getItemCount(),0,0,4,4,0.38%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getItemId(int),0,0,4,4,0.38%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getItemViewType(int),0,0,8,8,0.76%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.getItemsDigested(),0,0,3,3,0.28%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.initDragListener(int,View,ItemViewHolder)",2,0,25,23,2.37%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.invalidateActionMode(),1,0,11,10,1.04%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.onBindViewHolder(ViewHolder,int)",14,0,363,349,34.34%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.onCreateViewHolder(ViewGroup,int)",0,0,42,42,3.97%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.onFailedToRecycleView(ViewHolder),0,0,6,6,0.57%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.onViewAttachedToWindow(ViewHolder),0,0,10,10,0.95%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.onViewDetachedFromWindow(ViewHolder),0,0,11,11,1.04%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.setItems(RecyclerView,List<LayoutElementParcelable>)",0,0,3,3,0.28%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.setItems(RecyclerView,List<LayoutElementParcelable>,boolean)",0,0,36,36,3.41%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.showPopup(View,LayoutElementParcelable)",0,0,47,47,4.45%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.showRoundedThumbnail(ItemViewHolder,IconDataParcelable,ImageView,OnImageProcessed)",0,0,60,60,5.68%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.showThumbnailWithBackground(ItemViewHolder,IconDataParcelable,ImageView,OnImageProcessed)",0,0,55,55,5.20%,,,,,,,,,,
com.amaze.filemanager.adapters.RecyclerAdapter.toggleChecked(boolean),4,5,18,13,1.70%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.toggleChecked(boolean,String)",0,0,14,14,1.32%,,,,,,,,,,
"com.amaze.filemanager.adapters.RecyclerAdapter.toggleChecked(int,ImageView)",10,6,56,44,5.30%,,,,,,,,,,
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.CompressedObjectParcelable(),1,1,11,10,9.91%,,,,,,,,,,
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.CompressedObjectParcelable(Parcel),0,0,20,20,18.02%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.CompressedObjectParcelable.CompressedObjectParcelable(String,long,long,boolean)",0,0,11,11,9.91%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.CompressedObjectParcelable.Sorter.compare(CompressedObjectParcelable,CompressedObjectParcelable)",0,0,10,10,83.33%,,,,,,,,,,
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.describeContents(),0,0,4,4,3.60%,,,,,,,,,,
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.equals(Object),0,0,10,10,9.01%,,,,,,,,,,
com.amaze.filemanager.adapters.data.CompressedObjectParcelable.getNameForPath(String),0,0,11,11,9.91%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.CompressedObjectParcelable.writeToParcel(Parcel,int)",0,0,12,12,10.81%,,,,,,,,,,
com.amaze.filemanager.adapters.data.IconDataParcelable.IconDataParcelable(Parcel),0,0,7,7,11.48%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.IconDataParcelable.IconDataParcelable(int,String,int)",0,0,7,7,11.48%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.IconDataParcelable.IconDataParcelable(int,int)",0,0,7,7,11.48%,,,,,,,,,,
com.amaze.filemanager.adapters.data.IconDataParcelable.describeContents(),0,0,4,4,6.56%,,,,,,,,,,
com.amaze.filemanager.adapters.data.IconDataParcelable.isImageBroken(),0,0,3,3,4.92%,,,,,,,,,,
com.amaze.filemanager.adapters.data.IconDataParcelable.setImageBroken(boolean),0,0,3,3,4.92%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.IconDataParcelable.writeToParcel(Parcel,int)",0,0,8,8,13.11%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Context,String,String,String,String,String,long,boolean,String,boolean,boolean,OpenMode)",0,0,28,28,12.84%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Context,String,String,String,String,long,boolean,String,boolean,boolean,OpenMode)",0,0,26,26,11.93%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Context,boolean,String,String,String,String,String,long,boolean,String,boolean,boolean,OpenMode)",0,0,61,61,27.98%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Context,boolean,String,boolean)",0,0,17,17,7.80%,,,,,,,,,,
com.amaze.filemanager.adapters.data.LayoutElementParcelable.LayoutElementParcelable(Parcel),1,0,18,17,8.26%,,,,,,,,,,
com.amaze.filemanager.adapters.data.LayoutElementParcelable.describeContents(),1,0,5,4,2.29%,,,,,,,,,,
com.amaze.filemanager.adapters.data.LayoutElementParcelable.generateBaseFile(),0,0,7,7,3.21%,,,,,,,,,,
com.amaze.filemanager.adapters.data.LayoutElementParcelable.getMode(),0,0,3,3,1.38%,,,,,,,,,,
com.amaze.filemanager.adapters.data.LayoutElementParcelable.hasSymlink(),0,0,3,3,1.38%,,,,,,,,,,
com.amaze.filemanager.adapters.data.LayoutElementParcelable.setMode(OpenMode),0,0,3,3,1.38%,,,,,,,,,,
com.amaze.filemanager.adapters.data.LayoutElementParcelable.toString(),0,0,4,4,1.83%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.LayoutElementParcelable.writeToParcel(Parcel,int)",0,0,16,16,7.34%,,,,,,,,,,
com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.StorageDirectoryParcelable(Parcel),0,0,5,5,12.50%,,,,,,,,,,
"com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.StorageDirectoryParcelable(String,String,int)",0,0,5,5,12.50%,,,,,,,,,,
com.amaze.filemanager.adapters.data.StorageDirectoryParcelable.describeContents(),0,0,4,4,10.00%,,,,,,,,,,
