Complexity metrics,Wed., 13 Oct. 2021 12:23:24 EDT,,
Method,CogC,ev(G),iv(G),v(G)
com.amaze.filemanager.database.MigrationTestHelper.starting(Description),0,1,1,1
"com.amaze.filemanager.database.MigrationTestHelper.toColumn(EntityBundle,FieldBundle)",0,1,1,1
com.amaze.filemanager.database.MigrationTestHelper.toColumnMap(EntityBundle),1,1,2,2
com.amaze.filemanager.database.MigrationTestHelper.toColumnNamesSet(EntityBundle),1,1,2,2
com.amaze.filemanager.database.MigrationTestHelper.toForeignKeys(List<ForeignKeyBundle>),2,2,3,3
com.amaze.filemanager.database.MigrationTestHelper.toFtsTableInfo(FtsEntityBundle),0,1,1,1
com.amaze.filemanager.database.MigrationTestHelper.toIndices(List<IndexBundle>),2,2,3,3
com.amaze.filemanager.database.MigrationTestHelper.toTableInfo(EntityBundle),0,1,1,1
com.amaze.filemanager.database.MigrationTestHelper.toViewInfo(DatabaseViewBundle),0,1,1,1
com.amaze.filemanager.database.SortHandler.SortHandler(ExplorerDatabase),0,1,1,1
com.amaze.filemanager.database.SortHandler.addEntry(Sort),0,1,1,1
com.amaze.filemanager.database.SortHandler.clear(String),0,1,1,1
com.amaze.filemanager.database.SortHandler.findEntry(String),1,1,2,2
com.amaze.filemanager.database.SortHandler.getInstance(),0,1,1,1
"com.amaze.filemanager.database.SortHandler.getSortType(Context,String)",2,3,1,3
"com.amaze.filemanager.database.SortHandler.updateEntry(Sort,Sort)",0,1,1,1
com.amaze.filemanager.database.TabHandler.TabHandler(ExplorerDatabase),0,1,1,1
com.amaze.filemanager.database.TabHandler.addTab(Tab),0,1,1,1
com.amaze.filemanager.database.TabHandler.clear(),0,1,1,1
com.amaze.filemanager.database.TabHandler.findTab(int),1,1,2,2
com.amaze.filemanager.database.TabHandler.getAllTabs(),0,1,1,1
com.amaze.filemanager.database.TabHandler.getInstance(),0,1,1,1
com.amaze.filemanager.database.TabHandler.update(Tab),0,1,1,1
com.amaze.filemanager.database.UtilitiesDatabase.initialize(Context),0,1,1,1
"com.amaze.filemanager.database.UtilsHandler.UtilsHandler(Context,UtilitiesDatabase)",0,1,1,1
com.amaze.filemanager.database.UtilsHandler.addCommonBookmarks(),1,1,2,2
com.amaze.filemanager.database.UtilsHandler.clearTable(Operation),1,1,1,2
com.amaze.filemanager.database.UtilsHandler.getBookmarksList(),1,1,2,2
com.amaze.filemanager.database.UtilsHandler.getGridViewList(),0,1,1,1
com.amaze.filemanager.database.UtilsHandler.getHiddenFilesConcurrentRadixTree(),1,1,2,2
com.amaze.filemanager.database.UtilsHandler.getHistoryLinkedList(),1,1,2,2
com.amaze.filemanager.database.UtilsHandler.getListViewList(),0,1,1,1
com.amaze.filemanager.database.UtilsHandler.getSftpList(),4,1,3,3
com.amaze.filemanager.database.UtilsHandler.getSmbList(),3,2,3,3
com.amaze.filemanager.database.UtilsHandler.getSshAuthPrivateKey(String),3,1,3,3
com.amaze.filemanager.database.UtilsHandler.getSshAuthPrivateKeyName(String),1,1,2,2
com.amaze.filemanager.database.UtilsHandler.getSshHostKey(String),7,2,4,4
"com.amaze.filemanager.database.UtilsHandler.removeBookmarksPath(String,String)",0,1,1,1
com.amaze.filemanager.database.UtilsHandler.removeFromDatabase(OperationData),1,1,1,8
"com.amaze.filemanager.database.UtilsHandler.removeSftpPath(String,String)",2,1,2,2
"com.amaze.filemanager.database.UtilsHandler.removeSmbPath(String,String)",4,1,3,3
"com.amaze.filemanager.database.UtilsHandler.renameBookmark(String,String,String,String)",1,1,2,2
"com.amaze.filemanager.database.UtilsHandler.renameSMB(String,String,String,String)",1,1,2,2
com.amaze.filemanager.database.UtilsHandler.saveToDatabase(OperationData),1,1,1,8
"com.amaze.filemanager.database.UtilsHandler.updateSsh(String,String,String,String,String,String)",3,1,1,3
com.amaze.filemanager.database.UtilsHandlerTest.performEncryptUriTest(String),0,1,1,1
com.amaze.filemanager.database.UtilsHandlerTest.setUp(),0,1,1,1
com.amaze.filemanager.database.UtilsHandlerTest.tearDown(),1,1,2,2
com.amaze.filemanager.database.UtilsHandlerTest.testEncodeEncryptUri1(),0,1,1,1
com.amaze.filemanager.database.UtilsHandlerTest.testEncodeEncryptUri2(),0,1,1,1
com.amaze.filemanager.database.UtilsHandlerTest.testEncodeEncryptUri3(),0,1,1,1
com.amaze.filemanager.database.UtilsHandlerTest.testEncodeEncryptUri4(),0,1,1,1
com.amaze.filemanager.database.UtilsHandlerTest.testRepeatedSaveBookmarkShouldNeverThrowException(),1,1,2,2
"com.amaze.filemanager.database.models.OperationData.OperationData(Operation,String)",2,2,1,5
"com.amaze.filemanager.database.models.OperationData.OperationData(Operation,String,String)",2,2,1,3
"com.amaze.filemanager.database.models.OperationData.OperationData(Operation,String,String,String,String,String)",1,2,1,2
com.amaze.filemanager.database.models.OperationData.toString(),2,1,3,3
com.amaze.filemanager.database.models.StringWrapper.StringWrapper(String),0,1,1,1
com.amaze.filemanager.database.models.StringWrapper.toString(),0,1,1,1
com.amaze.filemanager.database.models.explorer.CloudEntry.CloudEntry(),0,1,1,1
"com.amaze.filemanager.database.models.explorer.CloudEntry.CloudEntry(OpenMode,String)",0,1,1,1
com.amaze.filemanager.database.models.explorer.CloudEntry.getId(),0,1,1,1
com.amaze.filemanager.database.models.explorer.CloudEntry.getPersistData(),0,1,1,1
com.amaze.filemanager.database.models.explorer.CloudEntry.getServiceType(),0,1,1,1
com.amaze.filemanager.database.models.explorer.CloudEntry.setId(int),0,1,1,1
com.amaze.filemanager.database.models.explorer.CloudEntry.setPersistData(StringWrapper),0,1,1,1
com.amaze.filemanager.database.models.explorer.CloudEntry.setServiceType(OpenMode),0,1,1,1
com.amaze.filemanager.database.models.explorer.EncryptedEntry.EncryptedEntry(),0,1,1,1
"com.amaze.filemanager.database.models.explorer.EncryptedEntry.EncryptedEntry(String,String)",0,1,1,1
com.amaze.filemanager.database.models.explorer.EncryptedEntry.getId(),0,1,1,1
com.amaze.filemanager.database.models.explorer.EncryptedEntry.getPassword(),0,1,1,1
com.amaze.filemanager.database.models.explorer.EncryptedEntry.getPath(),0,1,1,1
com.amaze.filemanager.database.models.explorer.EncryptedEntry.setId(int),0,1,1,1
com.amaze.filemanager.database.models.explorer.EncryptedEntry.setPassword(StringWrapper),0,1,1,1
com.amaze.filemanager.database.models.explorer.EncryptedEntry.setPath(String),0,1,1,1
"com.amaze.filemanager.database.models.explorer.Sort.Sort(String,int)",0,1,1,1
"com.amaze.filemanager.database.models.explorer.Tab.Tab(int,String,String)",0,1,1,1
"com.amaze.filemanager.database.models.explorer.Tab.getOriginalPath(boolean,SharedPreferences)",3,2,2,3
"com.amaze.filemanager.database.models.utilities.Bookmark.Bookmark(String,String)",0,1,1,1
com.amaze.filemanager.database.models.utilities.Grid.Grid(String),0,1,1,1
com.amaze.filemanager.database.models.utilities.Hidden.Hidden(String),0,1,1,1
com.amaze.filemanager.database.models.utilities.History.History(String),0,1,1,1
com.amaze.filemanager.database.models.utilities.List.List(String),0,1,1,1
com.amaze.filemanager.database.models.utilities.OperationData.OperationData(String),0,1,1,1
com.amaze.filemanager.database.models.utilities.OperationData.toString(),0,1,1,1
"com.amaze.filemanager.database.models.utilities.OperationDataWithName.OperationDataWithName(String,String)",0,1,1,1
"com.amaze.filemanager.database.models.utilities.SftpEntry.SftpEntry(String,String,String,String,String)",0,1,1,1
com.amaze.filemanager.database.models.utilities.SftpEntry.toString(),2,1,3,3
"com.amaze.filemanager.database.models.utilities.SmbEntry.SmbEntry(String,String)",0,1,1,1
com.amaze.filemanager.database.typeconverters.EncryptedStringTypeConverter.fromPassword(StringWrapper),1,1,2,2
com.amaze.filemanager.database.typeconverters.EncryptedStringTypeConverter.toPassword(String),1,1,2,2
com.amaze.filemanager.database.typeconverters.OpenModeTypeConverter.fromDatabaseValue(int),0,1,1,1
com.amaze.filemanager.database.typeconverters.OpenModeTypeConverter.fromOpenMode(OpenMode),0,1,1,1
com.amaze.filemanager.file_operations.exceptions.ShellNotRunningException.ShellNotRunningException(),0,1,1,1
com.amaze.filemanager.file_operations.exceptions.StreamNotFoundException.StreamNotFoundException(),0,1,1,1
com.amaze.filemanager.file_operations.exceptions.StreamNotFoundException.StreamNotFoundException(String),0,1,1,1
"com.amaze.filemanager.file_operations.exceptions.StreamNotFoundException.StreamNotFoundException(String,Throwable)",0,1,1,1
com.amaze.filemanager.file_operations.exceptions.StreamNotFoundException.StreamNotFoundException(Throwable),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.OpenMode.getOpenMode(int),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.StorageNaming.getDeviceDescriptionLegacy(File),1,4,1,4
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.CloudStreamServer(File),4,1,2,3
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.CloudStreamServer(int,File)",4,1,2,3
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.HTTPSession(Socket),0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.decodeHeader(BufferedReader,Properties,Properties,Properties)",13,2,9,10
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.decodeMultipartData(String,byte[],BufferedReader,Properties,Properties)",52,1,19,19
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.decodeParms(String,Properties)",4,2,3,4
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.decodePercent(String),4,1,3,5
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.getBoundaryPositions(byte[],byte[])",11,1,5,6
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.handleResponse(Socket),43,9,14,29
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.run(),3,1,3,3
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.saveTmpFile(byte[],int,int)",3,1,3,3
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.sendError(Socket,String,String)",0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.sendResponse(Socket,String,String,Properties,CloudStreamSource)",14,2,10,12
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.HTTPSession.stripMultipartHeaders(byte[],int)",4,3,1,6
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.Response.Response(),0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.Response.Response(String,String,CloudStreamSource)",0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.Response.addHeader(String,String)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.encodeUri(String),5,1,4,4
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.stop(),2,1,1,3
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamServer.tryBind(int),1,1,2,2
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.CloudStreamSource(String,long,InputStream)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.close(),1,1,2,2
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.getCurrentPosition(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.getName(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.moveTo(long),2,2,2,3
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.open(),1,1,2,2
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.read(),1,1,1,2
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSource.read(byte[],int,int)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.available(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.close(),1,1,1,2
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.createFile(),1,1,2,2
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.getName(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.length(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.moveTo(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.moveToException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.open(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.openNoFileException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.read(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readClosedException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readExceed(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readStartEnd(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readStartEndClosedException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.readStartEndExceedException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.reset(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.setUp(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamSourceTest.tearDown(),1,1,2,2
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.CloudStreamer(int),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.getInstance(),3,1,3,3
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.isStreamMedia(SmbFile),0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.serve(String,String,Properties,Properties,Properties)",31,1,7,11
"com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.setStreamSrc(InputStream,String,long)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.cloud.CloudStreamer.stop(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.ArchivePasswordCache(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.clear(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.containsKey(Object),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.containsValue(Object),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.entrySet(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.equals(Object),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.get(Object),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.getInstance(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.hashCode(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.isEmpty(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.keySet(),0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.put(String,String)",0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.putAll(Map<? extends String, ? extends String>)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.remove(Object),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.size(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.toString(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.compressed.ArchivePasswordCache.values(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.HTTPSession(Socket),0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.decodeHeader(BufferedReader,Properties,Properties,Properties)",13,2,9,10
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.decodeMultipartData(String,byte[],BufferedReader,Properties,Properties)",52,1,19,19
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.decodeParms(String,Properties)",4,2,3,4
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.decodePercent(String),4,1,3,5
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.getBoundaryPositions(byte[],byte[])",11,1,5,6
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.handleResponse(Socket),43,9,14,29
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.run(),3,1,3,3
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.saveTmpFile(byte[],int,int)",3,1,3,3
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.sendError(Socket,String,String)",0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.sendResponse(Socket,String,String,Properties,StreamSource)",14,2,10,12
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.HTTPSession.stripMultipartHeaders(byte[],int)",4,3,1,6
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.Response.Response(String,String,StreamSource)",0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.Response.addHeader(String,String)",0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.StreamServer(int,File)",4,1,2,3
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.stop(),1,1,1,2
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamServer.tryBind(int),1,1,2,2
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.StreamSource(SmbFile,long)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.close(),3,1,3,3
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.getCurrentPosition(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.getFile(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.getMimeType(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.getName(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.moveTo(long),2,2,2,3
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.open(),2,1,2,3
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.read(),1,1,1,2
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSource.read(byte[],int,int)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.available(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.close(),1,1,1,2
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.createFile(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.getFile(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.getMimeType(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.getName(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.length(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.moveTo(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.moveToException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.openExisting(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.read(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.readClosedException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.readExceed(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.readStartEnd(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.readStartEndClosedException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.readStartEndExceedException(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.reset(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.setUp(),1,1,2,2
com.amaze.filemanager.file_operations.filesystem.smbstreamer.StreamSourceTest.tearDown(),1,1,2,2
com.amaze.filemanager.file_operations.filesystem.smbstreamer.Streamer.Streamer(int),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.Streamer.getInstance(),3,1,3,3
com.amaze.filemanager.file_operations.filesystem.smbstreamer.Streamer.getNameFromPath(String),4,3,3,4
com.amaze.filemanager.file_operations.filesystem.smbstreamer.Streamer.isStreamMedia(SmbFile),0,1,1,1
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.Streamer.serve(String,String,Properties,Properties,Properties)",33,1,8,13
"com.amaze.filemanager.file_operations.filesystem.smbstreamer.Streamer.setStreamSrc(SmbFile,long)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.smbstreamer.Streamer.stop(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.streams.RandomAccessStream.RandomAccessStream(long),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.streams.RandomAccessStream.available(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.streams.RandomAccessStream.availableExact(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.streams.RandomAccessStream.length(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.streams.RandomAccessStream.mark(int),1,2,1,2
com.amaze.filemanager.file_operations.filesystem.streams.RandomAccessStream.markSupported(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.streams.RandomAccessStream.reset(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg.SingletonUsbOtg(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg.checkIfRootIsFromDevice(UsbOtgRepresentation),1,1,2,2
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg.getInstance(),1,1,1,2
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg.getUsbOtgRoot(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg.isDeviceConnected(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg.resetUsbOtgRoot(),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg.setConnectedDevice(UsbOtgRepresentation),0,1,1,1
com.amaze.filemanager.file_operations.filesystem.usb.SingletonUsbOtg.setUsbOtgRoot(Uri),1,2,1,2
"com.amaze.filemanager.file_operations.filesystem.usb.UsbOtgRepresentation.UsbOtgRepresentation(int,int,String)",0,1,1,1
com.amaze.filemanager.file_operations.filesystem.usb.UsbOtgRepresentation.equals(Object),4,2,4,6
com.amaze.filemanager.file_operations.filesystem.usb.UsbOtgRepresentation.hashCode(),1,1,2,2
com.amaze.filemanager.file_operations.shadows.ShadowMultiDex.install(Context),0,1,1,1
"com.amaze.filemanager.file_operations.shadows.jcifs.smb.ShadowSmbFile.__constructor__(URL,NtlmPasswordAuthentication)",0,1,1,1
com.amaze.filemanager.file_operations.shadows.jcifs.smb.ShadowSmbFile.getInputStream(),0,1,1,1
com.amaze.filemanager.file_operations.shadows.jcifs.smb.ShadowSmbFile.length(),0,1,1,1
com.amaze.filemanager.file_operations.shadows.jcifs.smb.ShadowSmbFile.listFiles(),0,1,1,1
com.amaze.filemanager.file_operations.shadows.jcifs.smb.ShadowSmbFile.setFile(File),0,1,1,1
"com.amaze.filemanager.filesystem.CustomFileObserver.CustomFileObserver(String,Handler)",0,1,1,1
"com.amaze.filemanager.filesystem.CustomFileObserver.FileTimerTask.FileTimerTask(String,FileObserver)",1,2,1,2
"com.amaze.filemanager.filesystem.CustomFileObserver.FileTimerTask.compare(String[],String[])",0,1,1,1
com.amaze.filemanager.filesystem.CustomFileObserver.FileTimerTask.run(),5,3,6,6
com.amaze.filemanager.filesystem.CustomFileObserver.getPath(),0,1,1,1
"com.amaze.filemanager.filesystem.CustomFileObserver.onEvent(int,String)",9,5,2,8
com.amaze.filemanager.filesystem.CustomFileObserver.sendMessages(),2,1,3,3
com.amaze.filemanager.filesystem.CustomFileObserver.startPollingSystem(),0,1,1,1
com.amaze.filemanager.filesystem.CustomFileObserver.startWatching(),2,1,2,2
com.amaze.filemanager.filesystem.CustomFileObserver.stopPollingSystem(),0,1,1,1
com.amaze.filemanager.filesystem.CustomFileObserver.stopWatching(),2,1,2,2
com.amaze.filemanager.filesystem.CustomFileObserver.wasStopped(),0,1,1,1
"com.amaze.filemanager.filesystem.EditableFileAbstraction.EditableFileAbstraction(Context,Uri)",12,2,5,8
com.amaze.filemanager.filesystem.EditableFileAbstractionTest.testBogeyUri(),0,1,1,1
com.amaze.filemanager.filesystem.EditableFileAbstractionTest.testContentUri(),0,1,1,1
com.amaze.filemanager.filesystem.EditableFileAbstractionTest.testFileUri(),0,1,1,1
com.amaze.filemanager.filesystem.EditableFileAbstractionTest.testNonExistentContentUri(),0,1,1,1
"com.amaze.filemanager.filesystem.FileUtil.getOutputStream(File,Context)",8,5,4,5
"com.amaze.filemanager.filesystem.FileUtil.writeUriToStorage(MainActivity,ArrayList<Uri>,ContentResolver,String)",66,7,21,26
"com.amaze.filemanager.filesystem.HybridFile.HybridFile(OpenMode,String)",0,1,1,1
"com.amaze.filemanager.filesystem.HybridFile.HybridFile(OpenMode,String,String,boolean)",11,1,11,12
"com.amaze.filemanager.filesystem.HybridFile.delete(Context,boolean)",14,3,7,8
com.amaze.filemanager.filesystem.HybridFile.exists(),18,9,12,14
com.amaze.filemanager.filesystem.HybridFile.exists(Context),4,3,4,4
com.amaze.filemanager.filesystem.HybridFile.folderSize(),5,2,4,7
com.amaze.filemanager.filesystem.HybridFile.folderSize(Context),9,1,4,12
"com.amaze.filemanager.filesystem.HybridFile.forEachChildrenFile(Context,boolean,OnFileFound)",24,2,9,14
com.amaze.filemanager.filesystem.HybridFile.generateBaseFileFromParent(),3,3,2,3
"com.amaze.filemanager.filesystem.HybridFile.generateLayoutElement(Context,boolean)",4,1,2,3
com.amaze.filemanager.filesystem.HybridFile.generateMode(Context),27,1,16,19
com.amaze.filemanager.filesystem.HybridFile.getDocumentFile(boolean),0,1,1,1
com.amaze.filemanager.filesystem.HybridFile.getFile(),0,1,1,1
com.amaze.filemanager.filesystem.HybridFile.getInputStream(),7,2,5,5
com.amaze.filemanager.filesystem.HybridFile.getInputStream(Context),9,1,5,13
com.amaze.filemanager.filesystem.HybridFile.getMode(),0,1,1,1
com.amaze.filemanager.filesystem.HybridFile.getName(Context),11,8,4,10
com.amaze.filemanager.filesystem.HybridFile.getNameString(Context),1,1,2,2
com.amaze.filemanager.filesystem.HybridFile.getOutputStream(Context),13,2,7,10
com.amaze.filemanager.filesystem.HybridFile.getParent(Context),5,4,3,5
com.amaze.filemanager.filesystem.HybridFile.getParentName(),0,1,1,1
com.amaze.filemanager.filesystem.HybridFile.getPath(),0,1,1,1
